algorithm,function,run,final_error
LCFO,F1,1,2157229.155253858
LCFO,F1,2,7602669.801776034
LCFO,F1,3,10573874.920018492
LCFO,F1,4,3871837.2154746475
LCFO,F1,5,15583678.908227785
LCFO,F1,6,7719295.496252203
LCFO,F1,7,5363384.223628072
LCFO,F1,8,9571537.871298034
LCFO,F1,9,3521045.616532177
LCFO,F1,10,6121631.766051451
LCFO,F1,11,7322910.31255809
LCFO,F1,12,5255335.414986527
LCFO,F1,13,3968458.5815393217
LCFO,F1,14,6385102.4083001865
LCFO,F1,15,8197245.867105422
LCFO,F1,16,5083333.543068543
LCFO,F1,17,6922572.910893176
LCFO,F1,18,3614085.528802873
LCFO,F1,19,6441070.945083281
LCFO,F1,20,47450173.10414629
LCFO,F1,21,5905012.609837069
LCFO,F1,22,3009964.60279386
LCFO,F1,23,3376962.968004103
LCFO,F1,24,6418649.361953405
LCFO,F1,25,9394033.288806383
LCFO,F1,26,10411108.350129737
LCFO,F1,27,4089560.402156894
LCFO,F1,28,4769702.319025299
LCFO,F1,29,3417324.883564997
LCFO,F1,30,6225356.834209494
LCFO,F3,1,152179.8244296503
LCFO,F3,2,143680.31045212533
LCFO,F3,3,170706.52951371355
LCFO,F3,4,139440.3863838245
LCFO,F3,5,115982.70500586208
LCFO,F3,6,159196.4780877623
LCFO,F3,7,186406.92066029605
LCFO,F3,8,164458.43030189947
LCFO,F3,9,170298.4772349457
LCFO,F3,10,150529.16065429707
LCFO,F3,11,157647.69355033644
LCFO,F3,12,583219.920711735
LCFO,F3,13,202100.3658592905
LCFO,F3,14,190772.26158055634
LCFO,F3,15,165870.79851355826
LCFO,F3,16,157773.19542587042
LCFO,F3,17,138630.8146431916
LCFO,F3,18,159341.90518775882
LCFO,F3,19,544582.8151579335
LCFO,F3,20,153917.44984709975
LCFO,F3,21,148516.89501972002
LCFO,F3,22,178789.73504880612
LCFO,F3,23,164850.55790259436
LCFO,F3,24,174113.5435686596
LCFO,F3,25,111781.66411002171
LCFO,F3,26,188832.0773866342
LCFO,F3,27,186294.59213237904
LCFO,F3,28,151983.66460910038
LCFO,F3,29,130746.20743023779
LCFO,F3,30,192526.14760966532
LCFO,F4,1,734.7017180934358
LCFO,F4,2,678.4932517713537
LCFO,F4,3,742.9930519256486
LCFO,F4,4,691.6393113664316
LCFO,F4,5,654.4369921527698
LCFO,F4,6,726.7609610978659
LCFO,F4,7,816.7085917482983
LCFO,F4,8,826.6454837178225
LCFO,F4,9,772.496863844877
LCFO,F4,10,768.1259645613507
LCFO,F4,11,717.7409985725888
LCFO,F4,12,688.6449029529742
LCFO,F4,13,792.9577894102458
LCFO,F4,14,732.5678114085351
LCFO,F4,15,716.6151637933852
LCFO,F4,16,761.0751240188371
LCFO,F4,17,845.2064006919092
LCFO,F4,18,761.746616203133
LCFO,F4,19,767.5321948318127
LCFO,F4,20,783.1188371523879
LCFO,F4,21,744.0768232021187
LCFO,F4,22,744.0401104409179
LCFO,F4,23,685.1235838241267
LCFO,F4,24,778.2746396075561
LCFO,F4,25,782.3529330324391
LCFO,F4,26,832.2562378335165
LCFO,F4,27,714.7556108092615
LCFO,F4,28,696.0820498128584
LCFO,F4,29,744.8451779708746
LCFO,F4,30,761.24222693952
LCFO,F5,1,872.1955406517396
LCFO,F5,2,963.8334687870006
LCFO,F5,3,886.318652451529
LCFO,F5,4,902.4186605343386
LCFO,F5,5,879.3926127032864
LCFO,F5,6,952.1325972268633
LCFO,F5,7,898.9019902953038
LCFO,F5,8,896.3279191340173
LCFO,F5,9,921.6555510731874
LCFO,F5,10,908.2570881293595
LCFO,F5,11,864.1988367369581
