Func,LCFO Mean,LCFO Std,JADE Mean,JADE Std,JADE p,SHADE Mean,SHADE Std,SHADE p,L-SHADE Mean,L-SHADE Std,L-SHADE p,jSO Mean,jSO Std,jSO p
F1,1.16e+02,2.58e+01,1.00e+02,5.57e-01,1.86e-09,1.00e+02,1.10e-01,1.86e-09,1.16e+10,4.67e+09,1.86e-09,5.82e+06,8.74e+06,1.86e-09
F3,3.62e+03,1.64e+04,7.32e+03,2.25e+04,2.09e-04,1.07e+03,9.78e+02,4.05e-02,7.19e+04,2.17e+04,3.73e-09,5.66e+04,4.41e+04,1.86e-09
F4,4.79e+02,9.73e+00,4.54e+02,3.09e+01,7.91e-05,4.59e+02,2.90e+01,4.34e-03,2.35e+03,8.23e+02,1.86e-09,5.08e+02,2.00e+01,9.98e-07
F5,5.25e+02,5.92e+00,5.49e+02,9.54e+00,1.86e-09,5.53e+02,9.98e+00,3.73e-09,7.61e+02,2.99e+01,1.86e-09,6.20e+02,2.26e+01,1.86e-09
F6,6.00e+02,1.08e-02,6.00e+02,9.97e-02,2.55e-07,6.00e+02,8.59e-03,1.86e-03,6.47e+02,1.15e+01,1.86e-09,6.03e+02,1.13e+00,1.86e-09
F7,7.57e+02,4.40e+00,7.94e+02,1.29e+01,1.86e-09,7.86e+02,1.00e+01,1.86e-09,1.18e+03,4.93e+01,1.86e-09,8.78e+02,2.45e+01,1.86e-09
F8,8.25e+02,5.55e+00,8.49e+02,7.78e+00,1.86e-09,8.52e+02,1.07e+01,1.86e-09,1.05e+03,4.18e+01,1.86e-09,9.05e+02,1.46e+01,1.86e-09
F9,9.01e+02,6.57e-01,9.26e+02,3.56e+01,3.73e-09,9.10e+02,2.06e+01,1.02e-07,6.37e+03,1.52e+03,1.86e-09,1.81e+03,4.20e+02,1.86e-09
F10,4.03e+03,2.38e+02,4.45e+03,3.37e+02,3.24e-06,4.37e+03,3.35e+02,2.69e-05,7.12e+03,6.41e+02,1.86e-09,5.01e+03,2.70e+02,1.86e-09
F11,1.15e+03,2.88e+01,1.21e+03,4.81e+01,1.40e-05,1.20e+03,4.59e+01,1.23e-04,3.17e+03,1.26e+03,1.86e-09,1.25e+03,6.25e+01,3.73e-09
