Func,LCFO Mean,LCFO Std,JADE Mean,JADE Std,JADE p,SHADE Mean,SHADE Std,SHADE p,L-SHADE Mean,L-SHADE Std,L-SHADE p,jSO Mean,jSO Std,jSO p,BHO Mean,BHO Std,BHO p,ESTA Mean,ESTA Std,ESTA p,DE Mean,DE Std,DE p,ZOA Mean,ZOA Std,ZOA p,GRO Mean,GRO Std,GRO p,NDO Mean,NDO Std,NDO p,PSO Mean,PSO Std,PSO p,TLBO Mean,TLBO Std,TLBO p,NGO Mean,NGO Std,NGO p,GWO Mean,GWO Std,GWO p,ACO Mean,ACO Std,ACO p,CFO Mean,CFO Std,CFO p,OOA Mean,OOA Std,OOA p,WOO Mean,WOO Std,WOO p,GLO Mean,GLO Std,GLO p,ABC Mean,ABC Std,ABC p,SSA Mean,SSA Std,SSA p,BKA Mean,BKA Std,BKA p,HROA Mean,HROA Std,HROA p,AOO Mean,AOO Std,AOO p,DBA Mean,DBA Std,DBA p,FA Mean,FA Std,FA p,MO Mean,MO Std,MO p,POA Mean,POA Std,POA p,LFO Mean,LFO Std,LFO p,AO Mean,AO Std,AO p,WOA Mean,WOA Std,WOA p,FTO Mean,FTO Std,FTO p,MFO Mean,MFO Std,MFO p,BBO Mean,BBO Std,BBO p,CS Mean,CS Std,CS p
F1,2.42e+03,2.83e+03,4.47e+03,3.96e+03,2.77e-02,4.99e+03,5.38e+03,1.97e-02,5.20e+10,6.42e+09,1.86e-09,6.43e+09,3.37e+09,1.86e-09,1.28e+07,1.31e+07,1.86e-09,8.86e+03,7.31e+03,2.08e-05,9.54e+08,3.48e+09,1.86e-09,9.82e+03,9.55e+03,2.08e-05,1.12e+07,8.05e+06,1.86e-09,4.92e+08,8.34e+08,1.86e-09,4.61e+09,3.50e+09,1.86e-09,1.84e+09,1.30e+09,1.86e-09,1.00e+10,4.52e+09,1.86e-09,1.24e+10,4.45e+09,1.86e-09,1.95e+08,6.91e+08,1.68e-06,3.61e+09,2.35e+09,1.86e-09,5.16e+09,2.21e+09,1.86e-09,5.91e+08,9.77e+07,1.86e-09,1.25e+10,2.91e+09,1.86e-09,4.14e+09,8.44e+08,1.86e-09,1.52e+10,4.60e+09,1.86e-09,3.66e+10,1.95e+10,1.86e-09,2.98e+10,3.88e+09,1.86e-09,1.72e+10,2.37e+09,1.86e-09,4.05e+10,4.59e+09,1.86e-09,1.80e+09,3.75e+08,1.86e-09,6.77e+10,9.36e+09,1.86e-09,9.93e+10,6.19e+09,1.86e-09,4.03e+10,6.45e+09,1.86e-09,8.36e+10,7.36e+09,1.86e-09,7.59e+10,1.28e+10,1.86e-09,1.11e+11,1.45e+10,1.86e-09,1.94e+11,4.76e+10,1.86e-09,1.16e+11,4.72e+09,1.86e-09,1.70e+11,4.75e+10,1.86e-09
F3,2.00e+04,8.08e+03,5.85e+04,6.31e+04,2.69e-05,2.83e+04,8.64e+03,6.08e-04,1.95e+05,2.82e+04,1.86e-09,1.50e+05,5.61e+04,1.86e-09,7.01e+04,2.53e+04,5.59e-09,2.15e+04,9.89e+03,6.26e-01,2.38e+05,4.09e+04,1.86e-09,1.45e+05,2.42e+04,1.86e-09,1.37e+05,1.47e+04,1.86e-09,2.34e+05,3.44e+04,1.86e-09,1.60e+05,4.35e+04,1.86e-09,1.79e+05,2.63e+04,1.86e-09,1.67e+05,1.50e+04,1.86e-09,1.21e+05,2.29e+04,1.86e-09,2.38e+05,6.38e+04,1.86e-09,7.67e+04,1.25e+04,1.86e-09,1.54e+05,1.47e+04,1.86e-09,1.06e+05,1.59e+04,1.86e-09,1.75e+05,9.31e+03,1.86e-09,3.28e+05,4.77e+04,1.86e-09,1.46e+05,2.38e+04,1.86e-09,9.45e+04,3.13e+04,1.86e-09,1.98e+05,3.11e+04,1.86e-09,1.51e+05,2.64e+04,1.86e-09,1.90e+05,2.17e+04,1.86e-09,2.68e+05,9.76e+04,1.86e-09,2.20e+05,4.15e+04,1.86e-09,4.84e+05,6.29e+04,1.86e-09,2.56e+05,1.05e+05,1.86e-09,5.56e+05,1.96e+05,1.86e-09,2.98e+05,9.88e+04,1.86e-09,5.77e+05,1.00e+05,1.86e-09,5.44e+05,5.68e+04,1.86e-09,3.13e+05,2.03e+05,1.86e-09,6.39e+08,3.44e+09,1.86e-09
F4,5.37e+02,5.04e+01,5.24e+02,4.09e+01,2.13e-01,5.19e+02,5.22e+01,9.19e-02,1.22e+04,2.25e+03,1.86e-09,1.18e+03,2.88e+02,1.86e-09,6.31e+02,5.48e+01,1.64e-07,5.50e+02,5.62e+01,3.82e-01,6.24e+02,6.75e+01,3.05e-05,5.93e+02,5.74e+01,4.03e-03,5.99e+02,5.31e+01,5.59e-05,7.44e+02,1.07e+02,1.86e-09,9.69e+02,3.67e+02,1.86e-09,1.00e+03,2.69e+02,1.86e-09,1.36e+03,3.21e+02,1.86e-09,1.55e+03,7.57e+02,1.86e-09,6.46e+02,1.16e+02,8.33e-07,8.58e+02,1.72e+02,1.86e-09,1.22e+03,1.93e+02,1.86e-09,8.39e+02,4.08e+01,1.86e-09,1.76e+03,5.46e+02,1.86e-09,1.26e+03,1.49e+02,1.86e-09,2.77e+03,9.70e+02,1.86e-09,7.29e+03,7.01e+03,1.86e-09,5.20e+03,9.01e+02,1.86e-09,2.04e+03,3.56e+02,1.86e-09,8.30e+03,1.30e+03,1.86e-09,9.91e+02,9.66e+01,1.86e-09,1.40e+04,4.25e+03,1.86e-09,1.12e+04,1.45e+03,1.86e-09,9.75e+03,2.15e+03,1.86e-09,2.15e+04,4.27e+03,1.86e-09,2.01e+04,6.23e+03,1.86e-09,3.38e+04,6.97e+03,1.86e-09,5.59e+04,2.67e+04,1.86e-09,3.89e+04,4.36e+03,1.86e-09,6.41e+04,2.54e+04,1.86e-09
F5,5.86e+02,1.19e+01,6.62e+02,1.62e+01,1.86e-09,6.70e+02,2.10e+01,1.86e-09,1.07e+03,3.67e+01,1.86e-09,9.09e+02,3.93e+01,1.86e-09,7.10e+02,2.53e+01,1.86e-09,8.51e+02,6.33e+01,1.86e-09,8.50e+02,9.32e+01,3.73e-09,7.99e+02,5.63e+01,1.86e-09,8.75e+02,7.08e+01,1.86e-09,7.61e+02,7.11e+01,1.86e-09,6.76e+02,3.44e+01,1.86e-09,7.61e+02,3.76e+01,1.86e-09,8.96e+02,1.67e+01,1.86e-09,7.43e+02,5.58e+01,1.86e-09,8.81e+02,5.93e+01,1.86e-09,8.74e+02,4.26e+01,1.86e-09,9.39e+02,3.02e+01,1.86e-09,9.56e+02,2.36e+01,1.86e-09,1.09e+03,3.11e+01,1.86e-09,1.01e+03,1.89e+01,1.86e-09,9.47e+02,5.06e+01,1.86e-09,9.19e+02,7.04e+01,1.86e-09,9.37e+02,2.16e+01,1.86e-09,1.07e+03,3.94e+01,1.86e-09,8.99e+02,1.66e+01,1.86e-09,1.31e+03,8.76e+01,1.86e-09,1.07e+03,4.46e+01,1.86e-09,1.27e+03,3.05e+01,1.86e-09,1.08e+03,3.46e+01,1.86e-09,1.19e+03,3.20e+01,1.86e-09,1.19e+03,4.13e+01,1.86e-09,1.24e+03,4.63e+01,1.86e-09,1.53e+03,1.46e+02,1.86e-09,1.23e+03,1.98e+01,1.86e-09,1.38e+03,1.12e+02,1.86e-09
F6,6.00e+02,1.48e-01,6.01e+02,9.23e-01,2.05e-07,6.00e+02,3.05e-01,2.89e-01,6.78e+02,5.41e+00,1.86e-09,6.31e+02,6.12e+00,1.86e-09,6.14e+02,3.88e+00,1.86e-09,6.05e+02,2.57e+00,1.86e-09,6.02e+02,9.74e-01,3.73e-09,6.27e+02,1.06e+01,1.86e-09,6.03e+02,1.46e+00,1.86e-09,6.22e+02,5.65e+00,1.86e-09,6.14e+02,4.59e+00,1.86e-09,6.32e+02,6.93e+00,1.86e-09,6.53e+02,1.22e+01,1.86e-09,6.23e+02,4.48e+00,1.86e-09,6.55e+02,7.94e+00,1.86e-09,6.65e+02,6.20e+00,1.86e-09,6.27e+02,4.12e+00,1.86e-09,6.42e+02,4.08e+00,1.86e-09,6.44e+02,6.35e+00,1.86e-09,6.25e+02,3.31e+00,1.86e-09,6.74e+02,7.95e+00,1.86e-09,6.71e+02,6.73e+00,1.86e-09,6.57e+02,4.33e+00,1.86e-09,6.66e+02,1.30e+01,1.86e-09,6.75e+02,4.00e+00,1.86e-09,7.07e+02,1.09e+01,1.86e-09,6.87e+02,6.84e+00,1.86e-09,6.87e+02,3.11e+00,1.86e-09,6.92e+02,7.72e+00,1.86e-09,7.01e+02,6.47e+00,1.86e-09,7.00e+02,6.62e+00,1.86e-09,6.86e+02,6.35e+00,1.86e-09,7.24e+02,1.77e+01,1.86e-09,7.09e+02,3.57e+00,1.86e-09,7.24e+02,1.48e+01,1.86e-09
F7,8.45e+02,1.18e+01,9.86e+02,3.80e+01,1.86e-09,9.56e+02,1.86e+01,1.86e-09,1.86e+03,9.02e+01,1.86e-09,1.39e+03,9.93e+01,1.86e-09,1.07e+03,7.11e+01,1.86e-09,1.28e+03,7.55e+01,1.86e-09,1.22e+03,3.96e+01,1.86e-09,1.13e+03,7.72e+01,1.86e-09,1.21e+03,7.35e+01,1.86e-09,1.18e+03,8.13e+01,1.86e-09,1.05e+03,8.81e+01,1.86e-09,1.24e+03,1.05e+02,1.86e-09,1.39e+03,8.86e+01,1.86e-09,1.14e+03,7.91e+01,1.86e-09,1.83e+03,2.93e+02,1.86e-09,1.65e+03,1.15e+02,1.86e-09,1.33e+03,7.28e+01,1.86e-09,1.23e+03,2.11e+01,1.86e-09,1.54e+03,7.81e+01,1.86e-09,1.40e+03,4.39e+01,1.86e-09,1.74e+03,1.84e+02,1.86e-09,1.73e+03,8.57e+01,1.86e-09,1.43e+03,5.71e+01,1.86e-09,1.67e+03,6.82e+01,1.86e-09,1.91e+03,3.35e+01,1.86e-09,2.56e+03,2.71e+02,1.86e-09,1.84e+03,1.02e+02,1.86e-09,4.22e+03,2.37e+02,1.86e-09,1.94e+03,6.49e+01,1.86e-09,1.95e+03,6.57e+01,1.86e-09,2.04e+03,6.94e+01,1.86e-09,2.84e+03,2.74e+02,1.86e-09,6.00e+03,6.39e+02,1.86e-09,2.07e+03,3.50e+01,1.86e-09,3.88e+03,7.47e+02,1.86e-09
F8,8.82e+02,1.05e+01,9.65e+02,2.70e+01,1.86e-09,9.74e+02,1.93e+01,1.86e-09,1.38e+03,3.36e+01,1.86e-09,1.21e+03,5.03e+01,1.86e-09,1.01e+03,2.54e+01,1.86e-09,1.16e+03,7.51e+01,1.86e-09,1.15e+03,9.86e+01,3.73e-09,1.10e+03,4.72e+01,1.86e-09,1.15e+03,8.34e+01,1.86e-09,1.07e+03,5.57e+01,1.86e-09,9.78e+02,4.90e+01,1.86e-09,1.07e+03,3.99e+01,1.86e-09,1.21e+03,2.56e+01,1.86e-09,1.06e+03,4.69e+01,1.86e-09,1.19e+03,5.28e+01,1.86e-09,1.19e+03,5.63e+01,1.86e-09,1.24e+03,1.39e+01,1.86e-09,1.26e+03,2.72e+01,1.86e-09,1.38e+03,3.11e+01,1.86e-09,1.31e+03,1.60e+01,1.86e-09,1.27e+03,5.35e+01,1.86e-09,1.23e+03,6.56e+01,1.86e-09,1.24e+03,2.59e+01,1.86e-09,1.37e+03,4.13e+01,1.86e-09,1.23e+03,1.72e+01,1.86e-09,1.58e+03,7.26e+01,1.86e-09,1.39e+03,4.42e+01,1.86e-09,1.56e+03,2.90e+01,1.86e-09,1.43e+03,4.17e+01,1.86e-09,1.52e+03,3.32e+01,1.86e-09,1.47e+03,4.25e+01,1.86e-09,1.59e+03,6.63e+01,1.86e-09,1.78e+03,1.41e+02,1.86e-09,1.56e+03,1.94e+01,1.86e-09,1.69e+03,1.13e+02,1.86e-09
F9,9.31e+02,2.40e+01,2.01e+03,9.98e+02,1.86e-09,1.52e+03,4.72e+02,5.59e-09,2.85e+04,3.53e+03,1.86e-09,1.58e+04,4.67e+03,1.86e-09,5.81e+03,2.42e+03,1.86e-09,1.34e+04,3.81e+03,1.86e-09,2.14e+03,1.06e+03,1.86e-09,9.93e+03,2.53e+03,1.86e-09,3.80e+03,1.99e+03,1.86e-09,1.19e+04,4.65e+03,1.86e-09,8.78e+03,7.29e+03,1.86e-09,1.34e+04,4.08e+03,1.86e-09,1.43e+04,2.63e+03,1.86e-09,1.08e+04,3.98e+03,1.86e-09,4.38e+04,1.36e+04,1.86e-09,1.39e+04,3.87e+03,1.86e-09,4.48e+03,6.81e+02,1.86e-09,1.30e+04,2.73e+03,1.86e-09,2.67e+04,6.54e+03,1.86e-09,1.22e+04,2.86e+03,1.86e-09,1.96e+04,3.40e+03,1.86e-09,1.80e+04,5.86e+03,1.86e-09,1.68e+04,2.25e+03,1.86e-09,2.40e+04,7.79e+03,1.86e-09,2.73e+04,1.72e+03,1.86e-09,5.41e+04,1.14e+04,1.86e-09,2.14e+04,3.49e+03,1.86e-09,4.70e+04,6.25e+03,1.86e-09,3.32e+04,4.28e+03,1.86e-09,3.75e+04,4.11e+03,1.86e-09,3.75e+04,4.24e+03,1.86e-09,4.85e+04,7.36e+03,1.86e-09,7.77e+04,2.04e+04,1.86e-09,4.20e+04,2.64e+03,1.86e-09,5.99e+04,1.66e+04,1.86e-09
F10,7.77e+03,3.92e+02,8.62e+03,7.20e+02,6.91e-07,8.34e+03,4.62e+02,3.24e-06,1.43e+04,9.13e+02,1.86e-09,1.08e+04,5.25e+02,1.86e-09,8.45e+03,8.31e+02,1.34e-03,6.97e+03,7.91e+02,3.05e-05,1.50e+04,3.55e+02,1.86e-09,7.75e+03,9.02e+02,6.41e-01,1.38e+04,1.30e+03,1.86e-09,1.23e+04,1.99e+03,1.86e-09,7.56e+03,1.36e+03,3.18e-01,1.49e+04,4.37e+02,1.86e-09,1.00e+04,5.25e+02,1.86e-09,7.81e+03,2.49e+03,1.05e-01,7.49e+03,1.62e+03,1.85e-02,9.04e+03,1.05e+03,1.68e-06,1.33e+04,1.34e+03,1.86e-09,1.37e+04,3.31e+02,1.86e-09,1.48e+04,5.54e+02,1.86e-09,1.54e+04,2.51e+02,1.86e-09,1.02e+04,1.06e+03,3.73e-09,9.19e+03,1.60e+03,9.31e-09,1.16e+04,5.35e+02,1.86e-09,1.52e+04,4.03e+02,1.86e-09,9.02e+03,8.60e+02,3.54e-08,1.31e+04,1.02e+03,1.86e-09,1.31e+04,1.16e+03,1.86e-09,1.41e+04,7.24e+02,1.86e-09,1.45e+04,9.15e+02,1.86e-09,1.54e+04,6.04e+02,1.86e-09,1.44e+04,8.84e+02,1.86e-09,1.56e+04,4.89e+02,1.86e-09,1.52e+04,8.77e+02,1.86e-09,1.59e+04,5.31e+02,1.86e-09,1.65e+04,8.43e+02,1.86e-09
F11,1.30e+03,6.59e+01,1.32e+03,5.61e+01,1.19e-01,1.32e+03,5.24e+01,1.40e-01,1.68e+04,3.27e+03,1.86e-09,5.33e+03,2.98e+03,1.86e-09,1.48e+03,1.02e+02,2.55e-07,1.29e+03,5.73e+01,8.87e-01,1.42e+03,2.04e+02,9.93e-03,1.96e+03,6.25e+02,5.59e-09,1.59e+03,1.35e+02,1.86e-09,2.37e+03,6.21e+02,1.86e-09,1.67e+03,5.36e+02,9.31e-09,1.52e+03,1.26e+02,1.86e-09,1.93e+03,4.10e+02,1.86e-09,5.71e+03,1.61e+03,1.86e-09,1.54e+03,1.27e+02,3.73e-09,1.85e+03,6.39e+02,1.86e-09,1.19e+04,2.12e+03,1.86e-09,1.92e+03,1.70e+02,1.86e-09,8.70e+03,1.70e+03,1.86e-09,8.22e+03,2.25e+03,1.86e-09,7.29e+03,2.20e+03,1.86e-09,5.84e+03,4.64e+03,1.86e-09,9.88e+03,2.31e+03,1.86e-09,4.94e+03,9.25e+02,1.86e-09,8.13e+03,1.78e+03,1.86e-09,1.22e+04,5.30e+03,1.86e-09,1.91e+04,3.41e+03,1.86e-09,1.89e+04,2.33e+03,1.86e-09,1.59e+04,2.99e+03,1.86e-09,2.06e+04,4.65e+03,1.86e-09,1.75e+04,3.33e+03,1.86e-09,6.25e+04,2.28e+04,1.86e-09,8.00e+04,1.80e+04,1.86e-09,2.40e+04,2.48e+03,1.86e-09,7.32e+04,2.11e+04,1.86e-09
